"","date","province","vaxPop","secondVaxPop","firstJabs","secondJabs","jabs","eli_pop","pop","province2"
"151",2021-11-14,"ab",3385548.21899355,3078021.78140261,1143.78981980681,6162.62227663072,7306.41209643753,3761125,4444277,"AB"
"152",2021-11-15,"ab",3384413.54610215,3084175.17781536,-1134.67289139237,6153.39641274698,5018.72352135461,3761125,4444277,"AB"
"153",2021-11-16,"ab",3385541.19269968,3090321.3982344,1127.64659752743,6146.22041903855,7273.86701656599,3761125,4444277,"AB"
"154",2021-11-17,"ab",3384422.26788568,3096456.31752768,-1118.92481399933,6134.91929328535,5015.99447928602,3761125,4444277,"AB"
"155",2021-11-18,"ab",3385534.44393763,3102582.31829413,1112.17605194356,6126.00076644588,7238.17681838945,3761125,4444277,"AB"
"156",2021-11-19,"ab",3384430.62224729,3108694.15653611,-1103.82169033773,6111.83824198786,5008.01655165013,3761125,4444277,"AB"
"157",2021-11-20,"ab",3385527.95465861,3114794.63151868,1097.33241131855,6100.47498256015,7197.8073938787,3761125,4444277,"AB"
"158",2021-11-21,"ab",3384438.63425987,3120876.84723512,-1089.32039873675,6082.21571644908,4992.89531771233,3761125,4444277,"AB"
"159",2021-11-22,"ab",3385521.7084292,3126944.1240478,1083.07416932937,6067.27681267215,7150.35098200152,3761125,4444277,"AB"
"160",2021-11-23,"ab",3384446.32666356,3132986.99065078,-1075.38176564174,6042.86660298239,4967.48483734066,3761125,4444277,"AB"
"161",2021-11-24,"ab",3385515.690249,3139009.4034795,1069.36358543858,6022.4128287253,7091.77641416388,3761125,4444277,"AB"
"162",2021-11-25,"ab",3384453.72013775,3144997.58187966,-1061.97011125134,5988.17840015516,4926.20828890381,3761125,4444277,"AB"
"163",2021-11-26,"ab",3385509.88639292,3150956.18381316,1056.16625517607,5958.60193350073,7014.7681886768,3761125,4444277,"AB"
"164",2021-11-27,"ab",3384460.8335353,3156863.49116583,-1049.05285762483,5907.30735267419,4858.25449504936,3761125,4444277,"AB"
"165",2021-11-28,"ab",3385504.28427434,3162724.60443133,1043.4507390419,5861.11326549575,6904.56400453765,3761125,4444277,"AB"
"166",2021-11-29,"ab",3384467.684085,3168501.04256536,-1036.6001893403,5776.43813403463,4739.83794469433,3761125,4444277,"AB"
"167",2021-11-30,"ab",3385498.87232578,3174196.44826878,1031.18824078189,5695.40570341237,6726.59394419426,3761125,4444277,"AB"
"168",2021-12-01,"ab",3384474.28756722,3179728.70087694,-1024.58475855691,5532.25260816142,4507.66784960451,3761125,4444277,"AB"
"169",2021-12-02,"ab",3385493.63989466,3185088.75730389,1019.35232743761,5360.05642695492,6379.40875439253,3761125,4444277,"AB"
"170",2021-12-03,"ab",3384480.6584669,3190032.35713509,-1012.9814277594,4943.59983119695,3930.61840343755,3761125,4444277,"AB"
"171",2021-12-04,"ab",3385488.5771518,3194455.21808168,1007.91868489794,4422.86094659008,5430.77963148803,3761125,4444277,"AB"
"172",2021-12-05,"ab",3384486.81010719,3196907.87744996,-1001.76704461267,2452.65936828032,1450.89232366765,3761125,4444277,"AB"
"173",2021-12-06,"ab",3385483.67501092,3197761.32106223,996.864903735928,853.443612272851,1850.30851600878,3761125,4444277,"AB"
"174",2021-12-07,"ab",3384492.75476663,3193366.33633481,-990.920244291425,-4394.98472742504,-5385.90497171646,3761125,4444277,"AB"
"175",2021-12-08,"ab",3385478.92505762,3196908.11328991,986.170290989801,3541.77695509931,4527.94724608911,3761125,4444277,"AB"
"176",2021-12-09,"ab",3384498.50378223,3195892.96850497,-980.421275393572,-1015.14478494087,-1995.56606033444,3761125,4444277,"AB"
"177",2021-12-10,"ab",3385474.31948647,3197926.54426942,975.815704239532,2033.57576445164,3009.39146869117,3761125,4444277,"AB"
"178",2021-12-11,"ab",3384504.06764029,3192562.4738628,-970.25184618216,-5364.07040662132,-6334.32225280348,3761125,4444277,"AB"
"179",2021-12-12,"ab",3385469.85104521,3196380.73533569,965.783404925372,3818.26147289481,4784.04487782018,3761125,4444277,"AB"
"180",2021-12-13,"ab",3384509.45605681,3196575.38275424,-960.394988404587,194.647418543231,-765.747569861356,3761125,4444277,"AB"
"181",2021-12-14,"ab",3385465.51298512,3197863.12284664,956.056928313337,1287.74009240558,2243.79702071892,3761125,4444277,"AB"
"182",2021-12-15,"ab",3384514.67804877,3192980.55804349,-950.834936352447,-4882.56480314769,-5833.39973950014,3761125,4444277,"AB"
"183",2021-12-16,"ab",3385461.29901669,3196657.89958883,946.620967921335,3677.34154533315,4623.96251325449,3761125,4444277,"AB"
"184",2021-12-17,"ab",3384519.7419975,3196305.18431148,-941.55701919226,-352.715277345385,-1294.27229653765,3761125,4444277,"AB"
"185",2021-12-18,"ab",3385457.20327003,3197904.89344182,937.461272533983,1599.70913033513,2537.17040286912,3761125,4444277,"AB"
"186",2021-12-19,"ab",3384524.65570516,3192815.23418297,-932.547564866021,-5089.65925884154,-6022.20682370756,3761125,4444277,"AB"
"187",2021-12-20,"ab",3385453.22025938,3196546.53513731,928.564554218668,3731.30095433397,4659.86550855264,3761125,4444277,"AB"
"188",2021-12-21,"ab",3384529.42644525,3196452.10182614,-923.793814128265,-94.4333111708984,-1018.22712529916,3761125,4444277,"AB"
"189",2021-12-22,"ab",3385449.34485123,3197873.14517281,919.918405976612,1421.04334667651,2340.96175265312,3761125,4444277,"AB"
"190",2021-12-23,"ab",3384534.06100776,3193042.4113499,-915.2838434726,-4830.73382291291,-5746.01766638551,3761125,4444277,"AB"
"191",2021-12-24,"ab",3385445.57223561,3196692.68332542,911.511227855459,3650.27197551401,4561.78320336947,3761125,4444277,"AB"
"192",2021-12-25,"ab",3384538.56573973,3196301.83600634,-907.006495879032,-390.847319079097,-1297.85381495813,3761125,4444277,"AB"
"193",2021-12-26,"ab",3385441.89790025,3197889.12428598,903.33216051152,1587.28827964049,2490.62044015201,3761125,4444277,"AB"
"194",2021-12-27,"ab",3384542.94658178,3193010.93672036,-898.951318461448,-4878.18756561773,-5777.13888407918,3761125,4444277,"AB"
"195",2021-12-28,"ab",3385438.31760714,3196669.95842255,895.371025355067,3659.02170218714,4554.3927275422,3761125,4444277,"AB"
"196",2021-12-29,"ab",3384547.20910092,3196348.0516001,-891.108506218065,-321.906822442077,-1213.01532866014,3761125,4444277,"AB"
"197",2021-12-30,"ab",3385434.82737143,3197875.27981201,887.618270509411,1527.22821190907,2414.84648241848,3761125,4444277,"AB"
"198",2021-12-31,"ab",3384551.35852025,3193132.29853564,-883.468851183075,-4742.98127636826,-5626.45012755133,3761125,4444277,"AB"
"199",2022-01-01,"ab",3385431.42344219,3196745.24508047,880.064921937417,3612.94654482882,4493.01146676624,3761125,4444277,"AB"
"200",2022-01-02,"ab",3384555.3997458,3196270.6866379,-876.023696387187,-474.55844257772,-1350.58213896491,3761125,4444277,"AB"
"201",2021-09-25,"sk",814716,727299.75,NA,NA,NA,1033088,1179906,"SK"
"202",2021-09-26,"sk",816805.75,728878.446050975,2089.75,1578.69605097524,3668.44605097524,1033088,1179906,"SK"
"203",2021-09-27,"sk",818895.149032242,730457.392440474,2089.39903224155,1578.94638949831,3668.34542173985,1033088,1179906,"SK"
"204",2021-09-28,"sk",820984.184054723,732036.584479862,2089.03502248146,1579.19203938893,3668.22706187039,1033088,1179906,"SK"
"205",2021-09-29,"sk",823072.841287136,733616.017605136,2088.6572324133,1579.43312527332,3668.09035768663,1033088,1179906,"SK"
"206",2021-09-30,"sk",825161.106154212,735195.687371989,2088.26486707537,1579.66976685368,3667.93463392905,1033088,1179906,"SK"
"207",2021-10-01,"sk",827248.963223533,736775.589451102,2087.85706932121,1579.90207911294,3667.75914843415,1033088,1179906,"SK"
